iter	Passed	Remaining
455	903	1078
456	904	1075
457	906	1072
458	907	1069
459	907	1065
460	908	1062
461	909	1059
462	910	1056
463	911	1053
464	916	1054
465	918	1051
466	919	1048
467	920	1045
468	921	1042
469	922	1040
470	923	1037
471	924	1033
472	925	1030
473	925	1027
474	926	1024
475	928	1021
476	929	1019
477	930	1016
478	931	1013
479	932	1010
480	933	1007
481	934	1004
482	935	1001
483	936	998
484	937	995
485	938	992
486	939	989
487	940	986
488	941	983
489	943	981
490	945	980
491	947	977
492	948	975
493	949	972
494	949	969
495	951	966
496	952	964
497	953	961
498	954	958
499	955	955
500	963	959
501	964	956
502	964	953
503	965	950
504	966	947
505	967	944
506	968	941
507	969	938
508	970	936
509	971	933
510	975	933
511	976	930
512	977	928
513	978	925
514	979	922
515	980	919
516	981	917
517	982	914
518	984	912
519	987	911
520	989	909
521	990	907
522	991	904
523	992	901
524	993	898
525	994	896
526	995	893
527	996	890
528	997	887
529	998	885
530	1004	887
531	1006	884
532	1006	882
533	1007	879
534	1008	876
535	1009	874
536	1010	871
537	1011	868
538	1012	866
539	1013	863
540	1015	861
541	1017	859
542	1018	856
543	1019	854
544	1020	851
545	1021	849
546	1022	846
547	1023	844
548	1024	841
549	1025	839
550	1027	837
551	1028	834
552	1031	834
553	1033	832
554	1034	829
555	1035	827
556	1036	824
557	1038	822
558	1039	819
559	1039	817
560	1040	814
561	1041	812
562	1043	809
563	1045	807
564	1046	805
565	1047	803
566	1048	800
567	1049	798
568	1050	795
569	1051	793
570	1052	790
571	1053	788
572	1054	785
573	1055	783
574	1056	781
575	1057	778
576	1059	776
577	1062	775
578	1063	773
579	1065	771
580	1066	768
581	1067	766
582	1068	764
583	1069	761
584	1069	759
585	1070	756
586	1071	754
587	1073	752
588	1074	749
589	1077	748
590	1078	746
591	1079	744
592	1080	741
593	1081	739
594	1082	736
595	1082	734
596	1083	731
597	1084	729
598	1085	726
599	1089	726
600	1091	724
601	1092	722
602	1093	719
603	1094	717
604	1095	715
605	1097	713
606	1099	711
607	1100	709
608	1101	707
609	1102	704
610	1103	702
611	1104	700
612	1105	697
613	1106	695
614	1107	693
615	1108	690
616	1109	688
617	1110	686
618	1111	683
619	1119	686
620	1120	684
621	1121	681
622	1122	679
623	1123	677
624	1125	675
625	1126	672
626	1127	670
627	1129	669
628	1130	666
629	1131	664
630	1132	662
631	1136	661
632	1137	659
633	1138	657
634	1139	655
635	1140	652
636	1141	650
637	1144	649
638	1147	648
639	1150	647
640	1151	645
641	1153	643
642	1154	641
643	1158	640
644	1160	638
645	1161	636
646	1162	634
647	1164	632
648	1165	630
649	1166	628
650	1167	626
651	1168	623
652	1169	621
653	1170	619
654	1175	619
655	1176	617
656	1178	615
657	1180	613
658	1181	611
659	1182	609
660	1183	606
661	1184	604
662	1184	602
663	1186	600
664	1188	598
665	1189	596
666	1191	594
667	1192	592
668	1193	590
669	1195	588
670	1196	586
671	1197	584
672	1198	582
673	1199	579
674	1203	579
675	1205	577
676	1206	575
677	1208	574
678	1209	571
679	1210	569
680	1211	567
681	1212	565
682	1213	563
683	1214	560
684	1215	559
685	1218	557
686	1219	555
687	1220	553
688	1222	551
689	1223	549
690	1224	547
691	1225	545
692	1226	543
693	1227	541
694	1228	538
695	1229	536
696	1232	535
697	1233	533
698	1234	531
699	1235	529
700	1237	527
701	1238	525
702	1240	523
703	1240	521
704	1241	519
705	1242	517
706	1244	515
707	1246	514
708	1248	512
709	1249	510
710	1251	508
711	1253	506
712	1254	504
713	1255	502
714	1256	501
715	1258	499
716	1260	497
717	1262	495
718	1266	495
719	1268	493
720	1270	491
721	1272	489
722	1273	487
723	1274	485
724	1275	483
725	1277	482
726	1278	480
727	1279	478
728	1280	476
729	1282	474
730	1283	472
731	1285	470
732	1286	468
733	1288	466
734	1289	465
735	1290	463
736	1292	461
737	1293	459
738	1294	457
739	1295	455
740	1297	453
741	1298	451
742	1300	449
743	1302	448
744	1304	446
745	1306	444
746	1308	443
747	1309	441
748	1310	439
749	1311	437
750	1312	435
751	1327	437
752	1336	438
753	1340	437
754	1353	439
755	1365	440
756	1372	440
757	1379	440
758	1387	440
759	1396	440
760	1399	439
761	1410	440
762	1413	439
763	1416	437
764	1420	436
765	1424	435
766	1426	433
767	1428	431
768	1429	429
769	1430	427
770	1439	427
771	1454	429
772	1469	431
773	1471	429
774	1483	430
775	1484	428
776	1486	426
777	1487	424
778	1488	422
779	1494	421
780	1497	419
781	1500	418
782	1501	416
783	1502	414
784	1503	411
785	1508	410
786	1512	409
787	1514	407
788	1515	405
789	1516	403
790	1517	401
791	1519	399
792	1527	398
793	1529	396
794	1530	394
795	1531	392
796	1533	390
797	1534	388
798	1537	386
799	1539	384
800	1542	383
801	1544	381
802	1546	379
803	1547	377
804	1547	374
805	1548	372
806	1552	371
807	1555	369
808	1557	367
809	1558	365
810	1559	363
811	1560	361
812	1561	359
813	1562	357
814	1563	354
815	1565	353
816	1568	351
817	1571	349
818	1573	347
819	1574	345
820	1575	343
821	1576	341
822	1578	339
823	1586	338
824	1590	337
825	1593	335
826	1594	333
827	1599	332
828	1601	330
829	1603	328
830	1613	328
831	1615	326
832	1616	324
833	1617	321
834	1619	320
835	1622	318
836	1626	316
837	1629	314
838	1730	332
839	1733	330
840	1740	329
841	1745	327
842	1773	330
843	1775	328
844	1777	325
845	1782	324
846	1790	323
847	1794	321
848	1797	319
849	1798	317
850	1799	315
851	1807	313
852	1808	311
853	1809	309
854	1810	307
855	1814	305
856	1816	303
857	1818	300
858	1819	298
859	1821	296
860	1822	294
861	1823	291
862	1824	289
863	1833	288
864	1836	286
865	1837	284
866	1838	282
867	1840	279
868	1849	278
869	1850	276
870	1852	274
871	1854	272
872	1855	269
873	1858	267
874	1863	266
875	1865	264
876	1866	261
877	1867	259
878	1868	257
879	1869	254
880	1873	253
881	1875	250
882	1877	248
883	1878	246
884	1879	244
885	1881	242
886	1883	239
887	1884	237
888	1889	235
889	1895	234
890	1896	232
891	1897	229
892	1898	227
893	1899	225
894	1904	223
895	1907	221
896	1908	219
897	1910	217
898	1912	214
899	1913	212
900	1914	210
901	1915	208
902	1917	205
903	1919	203
904	1926	202
905	1928	200
906	1930	197
907	1931	195
908	1933	193
909	1935	191
910	1937	189
911	1938	187
912	1939	184
913	1939	182
914	1941	180
915	1942	178
916	1943	175
917	1944	173
918	1946	171
919	1947	169
920	1949	167
921	1951	165
922	1952	162
923	1953	160
924	1954	158
925	1955	156
926	1957	154
927	1958	151
928	1960	149
929	1962	147
930	1964	145
931	1965	143
932	1966	141
933	1967	139
934	1968	136
935	1970	134
936	1971	132
937	1972	130
938	1973	128
939	1975	126
940	1977	123
941	1980	121
942	1981	119
943	1983	117
944	1984	115
945	1985	113
946	1986	111
947	1987	109
948	1989	106
949	1991	104
950	1992	102
951	1993	100
952	1994	98
953	1995	96
954	1996	94
955	1998	91
956	1999	89
957	2000	87
958	2001	85
959	2002	83
960	2004	81
961	2009	79
962	2011	77
963	2012	75
964	2013	73
965	2014	70
966	2015	68
967	2016	66
968	2017	64
969	2018	62
970	2019	60
971	2021	58
972	2023	56
973	2025	54
974	2029	52
975	2031	49
976	2057	48
977	2058	46
978	2061	44
979	2064	42
980	2076	40
981	2145	39
982	2153	37
983	2156	35
984	2158	32
985	2170	30
986	2178	28
987	2190	26
988	2196	24
989	2207	22
990	2218	20
991	2235	18
992	2238	15
993	2241	13
994	2243	11
995	2256	9
996	2257	6
997	2258	4
998	2271	2
999	2274	0
